"List_Name","Intersection","Genes","Num_Genes"
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux2_wt_AND_CLN4_L115_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux2_wt_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN12_wt_AND_CLN4_L115_NTC","CAST, RTN4",2
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN12_wt_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","CLN4_L115_NTC_AND_CLN4_L116_NTC","FHIP1B, NDUFB9, LTBP2, BNIPL, ARL8A, FAM171A2, ZBTB39, MAP7D1, DST, DYNLL2, CCDC30, USO1, MMRN1, CCDC163",14
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN3_Lux2_wt_AND_Larvae_CLN12_wt","PIP4K2C",1
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN3_Lux2_wt_AND_CLN4_L115_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN3_Lux2_wt_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN12_wt_AND_CLN4_L115_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN12_wt_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_CLN4_L115_NTC_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux2_wt_AND_Larvae_CLN12_wt_AND_CLN4_L115_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux2_wt_AND_Larvae_CLN12_wt_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux2_wt_AND_CLN4_L115_NTC_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN12_wt_AND_CLN4_L115_NTC_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN3_Lux2_wt_AND_Larvae_CLN12_wt_AND_CLN4_L115_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN3_Lux2_wt_AND_Larvae_CLN12_wt_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN3_Lux2_wt_AND_CLN4_L115_NTC_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN12_wt_AND_CLN4_L115_NTC_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux2_wt_AND_Larvae_CLN12_wt_AND_CLN4_L115_NTC_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN3_Lux2_wt_AND_Larvae_CLN12_wt_AND_CLN4_L115_NTC_AND_CLN4_L116_NTC","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1","DAPK2, TLN1, VDAC3, zgc:110766, RHOG, zgc:136591, TPPP, CAPN5, nsfb.1, OLA1, NBEA, SQSTM1, SNAP25, im:7159005, nap1l1.1, PTPRS, TKT, ddx3a.1, HNRNPL, PTK7, ATP6V0D1, si:dkey-46a12.1, MAPRE2, SEC23B, CTTNBP2, hnrnpl.1, KIF5B, zgc:112145, wu:fc12b01.1, wu:fc05g05, zgc:77130, im:7151680, TLK1, GGCX, ptprfa.1, AP1G1, HCCS, im:7145131, db03h10, THAP12, PSMC4, rbm4l, IGF1R, slc27a1, zgc:73056, wu:fc27c10, chunp6878, COL2A1, ppa1, zgc:66163, MT-CO1, NT5C1B, tbl1xr1, fbln1c, zgc:123028, ADD1, MRC2, dlg3.1, WASF1, CAMSAP1, CLSTN1, WNT3, si:ch211-142b24.6, ARR3, si:ch211-197g15.1, ano10, TNNC1, PAM, CELA1, NLRP12, zgc:92191, LOC103910577, si:ch211-214p16.3, SLC16A7, DCTN1, TUBA1C, SCP2D1, SNRPB, zgc:63525, RCE1, GIMAP8, DNAH6, zgc:136645, AFAP1, SCN4B, PRODH, im:7153080, SRP72, zgc:110736, zgc:92922, VPS16, MRI1, wu:fb14b06, zgc:153984, zgc:109973, wu:fi04d10, LOC561361, TNS1, rufy3.1, myom1b.1, ARHGAP4, RPE65, NCAPG2, CACNA2D1, si:ch211-156l18.7.1, zgc:55292, OGT, trdn.3, LOC108183703, PNO1, zgc:152998, RFX5, PTBP3, EMC6, BZW2, UBXN1, SUPT6H, MDH1B, H1-1, im:6788778, GRK7, HGS, ALDH4A1, RHBG, LOC108183841, si:dkey-29p10.4, UTRN, SLC44A1, wu:fj36c03, NMB, EIF3A, GABRB2, LRRC59, zgc:100964, si:dkey-20d21.12, DBN1, zgc:63561, zgc:55435, STAG2, CACNA2D2, si:ch211-250g4.3, GRM4, zgc:63475, syt2a.1, PTPRD, CLVS2, FLT4, zgc:86833, wu:fe48e09, zgc:73336, EVPLL, ACOT1, GATD1, HIP1R, HNRNPU, zgc:112265, crfb14.1, zgc:66054, LOC110437892, zgc:136571, si:dkey-207j16.6, vamp1, TIMM23, sc:d0347, zgc:56141, si:ch211-106h4.6, zgc:77820, cadpsb.2, ADD3, LOC571124, GNB5, si:ch73-386h18.1, si:ch211-220f16.2, si:ch211-243j20.4, USF1, wu:fb60b05, PNPLA7, PDLIM7, zgc:92292, CDC73, cyp2j28, trp2, ARF6, si:ch211-59d15.9, SYNE1, wu:fb38g12, MRPS7, UNC45B, KLHL41, wu:fj37a05, URGCP, zgc:100819, SCARF2, SLC17A7, LOC110440055, si:ch73-299h12.9, es1, rprd1b.1, wu:fd06h11, HSD17B10, PRKAR1B, or111-1, si:dkey-148b12.1, BSN, LOC103910524, TMX2, LOC110439496, zgc:85777, CUL3, LOC108183341, LOC110439248, SGCB, DLK2, LOC103910918, wu:fc92c07, LOC100007492, GIPC1, EEF2K, NRF1, PRSS1, CYC1, SRP54, golph3, si:dkey-12h3.1, ENTPD5, CACNA2D2, zgc:123326, XRCC2, zgc:194297, LOC103909927, fc21c08, CACNA2D1, rabgef1.1, mllt4a, TENM3, COL14A1, snrk1, fc04h11.1, ASPH, TRAPPC8, SCN8A, LDB3, si:rp71-68n21.9, si:rp71-1c10.1, LOC101882570, CHST10, wu:fb38h07, STK3, POU4F3, RAB3GAP1, nfyb, zgc:110188, FBXO40, ESYT2, CCNO, COPS3, znf1137, ddx26b, DOCK1, EPB41L3, zgc:114119, TNS2, si:zc14a17.8, POU5F2, cadpsa.1, hm:zeh0176, THOC5, LOC110437872, SLC4A1, PPM1G, zgc:110843, CYP2J2, RBMS2, SLC5A12, wu:fj36c02, adgre13, NDST1, CELF2, CIZ1",279
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux2","YWHAE, zgc:92655, LOC100004582, zgc:92093, ATP6V0D1, COMP, SARS1, ARR3, rpl28l.1, CYC1, arfgef1.1, RYR2, TARBP2, SERBP1, NCAN, CALU, UTRN, camk2b.1, LOC103910577, si:dkey-29p10.4, NLRP12, myo18ab.1, zgc:171842, wu:fc46c10, wu:fb17f11, ACOT1, hras, CACNA2D2, EPB41L3, cadpsb.2, ATP5PF, wu:fc76h06, NEGR1, PPM1G, zgc:110825, RAB43, C1QBP, INPP4A, DCTN1, zgc:77758, STK3, USP9X, si:ch211-250g4.3, SRP72, EZR, LOC100003687, zgc:114119, CHST10, zgc:123266, GSTA1, LRRC59, ACOT1, GNB5, OGDHL, PNPLA7, GRK6, wu:fc27f12, THOC5, POU4F3, HID1, TAF7, RRBP1, DOCK1, fam122b, POU5F2, UNC45B, LOC108183303, RPL28, LOC108183341, NT5C1B, SLC5A12, si:ch211-287b5.1, WDR18, NDST1",74
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN12","zK13A21.2, CAMK2D, wu:fc31f07, LRCH1, si:ch211-106j24.1, zgc:73376, wu:fb01e12, NAP1L1, wu:fb77f12, METAP1, si:dkeyp-113d7.7, TKTL2, fm90e09, ABCC9, SRSF6, PACSIN3, fa18f02, zgc:73153, MYL7, si:dz180g5.3, im:7137110, UTRN, abraxas2b, zgc:73211, zgc:136367, zgc:77715, zgc:171842, zgc:56548, asph.1, zgc:194204, MAOA, wu:fb13h07, LAMB2, RAB2A, GPD2, MRPS7, zgc:66163, zgc:63701, CYC1, ank1b.1, PIGT, zgc:73347, fb19a06, MARK1, crtl1, zgc:101604, RBM12B, im:7139055, HSDL2, zgc:92234, cmlc1.1, ncbp1, ppa1, SPTB, MYH11, CNOT11, mg:ab03a02, UTP4, si:dkey-77n11.3, STMN1, wu:fc47b08, add1.1, mark2a.1, CACNA1S, cyp2j22.1, zgc:110219, CACNB1, si:dkey-175g6.5, PHB2, wu:fu10f07, dctn1a.1, ASB14, slc27a1, zgc:158642, si:ch211-127i16.2, zgc:56568, fb83e03, ATRX, im:7140733, zgc:110227, WASF1, fc50e01, SMARCC2, zgc:100889, SERBP1, TEX264, zgc:66110, RLBP1, wu:fb40d12, BPNT2, pigt.1, MT-ND3, LOC101886030, PNPLA7, POU5F2, AMPH, DCHS1, THBS3, zgc:77556, TARDBP, HSPE1, PRSS1, wu:fc76a05, PUM1, CACNA2D2, SETD3, ETF1, si:dkey-207j16.6, wu:fa97d12, si:ch211-233f16.1.1, HSBP1, SERPINF1, PRKCD, MRPL3, zgc:158677, HNRNPDL, HSD11B1L, zgc:171954, AASS, POR, ank2b.1, LOC103910188, ilf3b.1, MTX3, hmgb2, LOC110437806, wu:fi39b12, PFKP, IGF2BP2, PISD, CACNA2D1, LETMD1, COPS4, MARK4, ACOT9, LOC110438458, POMK, PHGDH, cacna2d2a.1, si:ch211-81a5.7, sept6.1, im:7153900, ALDH4A1, LZTS2, SNX8, si:ch211-48m9.1, zgc:101610, wu:fx03e08, MARK3, INPP5K, MAPRE3, plxnB2, HCFC1, MAP2K4, SH3KBP1, AP1G1, dnm2a.1, ADARB1, zgc:92566, ADARB1, CSE1L, AKAP1, USP6NL, RETSAT, HGD, zgc:63995, SLC7A8, CYP2J2, LOC110439787, im:6910498, si:ch211-69n2.2, LOC794952, RAC1, IGFBP3, PCDH1, wu:fc23c07, GNA13, RAC1, CADPS2, si:dkey-30j16.3, golph3, GRK3, im:7162273, si:dkey-190l1.2, FBXO40, phkb.1, zgc:77049, adam22.2, CACNA2D2, si:rp71-68n21.9, MRPS24, zgc:153680, PPP2CA, PPP2CA, IMPDH2, zgc:110843, zehn2383",197
"list_larvae_pval_CLN4_NTC_DOWN","CLN4_NTC_L115R","PSMD6, PTPN13, ATP6V1C1, GABBR2, BRCA1, DOCK9, NEBL, DHX29, APOA1, TNPO2, GCC2, GRIN3A, SRP72, PHKA1, FRG1, KRT17, NNT, HNRNPUL2, WARS1, KIF17, PHRF1, NRIP3, SBF2, ABL2, BRSK2, OSBP, KHSRP, GNAI2, POLR1D, TACC2, SERPINA3H, PSMA2, PPP2R5E, AP2S1, KCNJ10, SLC5A4B, CAPRIN1, SLC25A51, ND5, EPHA4, LENG9, COPS7A, PAFAH1B2, NUDT4, NEGR1, KCTD12, NT5C2, SCML2, RPS23, MACROH2A2, WASHC2",51
"list_larvae_pval_CLN4_NTC_DOWN","CLN4_NTC_L116","PCCA, DHX29, KIF17, DYNC1LI1, AAK1, MAG, ACTN4, RUNDC3B, SBF2, GRIA3, ATXN10, CHGA, KIF2A, CDC42, PPFIA3, TMEM30A, LTA4H, HSPH1, MSN, PLCB1, LRPPRC, MLXIPL, PPP1R9B, ADCY9, EEF1D, ZNF598, TACC2, SRGAP2, SYNJ1, TCP1, COL9A2, BRD2, RDX, LUC7L2, FAM83G, FLOT2, POR, REEP2, SFXN5, RAD23B, RNPEP, PFDN4, HSD17B10, TAF7, RALA, ETFDH, APLP1, PALS2, ACADL, ALCAM, BDH1, ATP6V1F, DNAJB11, HEPACAM, PCBP4, NRAS, PSMA3, PRPS2, RPL27A, LENG9, ACSBG1, COPS7A, HAPLN2, MACROH2A2, PSMA2, NUDT4, HSD17B4, NEGR1, SLC8A1, SCML2, PAFAH1B2, KCTD12, WASHC2",73
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN3_Lux2","ATP6V0D1, NT5C1B, ARR3, NLRP12, LOC103910577, DCTN1, SRP72, si:dkey-29p10.4, UTRN, LRRC59, CACNA2D2, si:ch211-250g4.3, ACOT1, cadpsb.2, GNB5, PNPLA7, UNC45B, LOC108183341, CYC1, CHST10, STK3, POU4F3, DOCK1, EPB41L3, zgc:114119, POU5F2, THOC5, PPM1G, SLC5A12, NDST1",30
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN12","AP1G1, slc27a1, ppa1, zgc:66163, WASF1, CACNA2D1, ALDH4A1, UTRN, CACNA2D2, si:dkey-207j16.6, PNPLA7, MRPS7, PRSS1, CYC1, golph3, si:rp71-68n21.9, FBXO40, POU5F2, zgc:110843, CYP2J2",20
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_CLN4_NTC_L115R","SRP72",1
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_CLN4_NTC_L116","HSD17B10",1
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux2_AND_Larvae_WT_CLN12","CYC1, SERBP1, UTRN, zgc:171842, CACNA2D2, PNPLA7, POU5F2",7
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux2_AND_CLN4_NTC_L115R","NEGR1, SRP72",2
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux2_AND_CLN4_NTC_L116","NEGR1, TAF7",2
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN12_AND_CLN4_NTC_L115R","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN12_AND_CLN4_NTC_L116","POR",1
"list_larvae_pval_CLN4_NTC_DOWN","CLN4_NTC_L115R_AND_CLN4_NTC_L116","DHX29, KIF17, SBF2, TACC2, PSMA2, LENG9, COPS7A, PAFAH1B2, NUDT4, NEGR1, KCTD12, SCML2, MACROH2A2, WASHC2",14
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN3_Lux2_AND_Larvae_WT_CLN12","UTRN, CACNA2D2, PNPLA7, CYC1, POU5F2",5
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN3_Lux2_AND_CLN4_NTC_L115R","SRP72",1
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN3_Lux2_AND_CLN4_NTC_L116","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN12_AND_CLN4_NTC_L115R","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN12_AND_CLN4_NTC_L116","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_CLN4_NTC_L115R_AND_CLN4_NTC_L116","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux2_AND_Larvae_WT_CLN12_AND_CLN4_NTC_L115R","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux2_AND_Larvae_WT_CLN12_AND_CLN4_NTC_L116","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux2_AND_CLN4_NTC_L115R_AND_CLN4_NTC_L116","NEGR1",1
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN12_AND_CLN4_NTC_L115R_AND_CLN4_NTC_L116","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN3_Lux2_AND_Larvae_WT_CLN12_AND_CLN4_NTC_L115R","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN3_Lux2_AND_Larvae_WT_CLN12_AND_CLN4_NTC_L116","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN3_Lux2_AND_CLN4_NTC_L115R_AND_CLN4_NTC_L116","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN12_AND_CLN4_NTC_L115R_AND_CLN4_NTC_L116","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux2_AND_Larvae_WT_CLN12_AND_CLN4_NTC_L115R_AND_CLN4_NTC_L116","",0
"list_larvae_pval_CLN4_NTC_DOWN","Larvae_WT_CLN3_Lux1_AND_Larvae_WT_CLN3_Lux2_AND_Larvae_WT_CLN12_AND_CLN4_NTC_L115R_AND_CLN4_NTC_L116","",0
